Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
UnderArmour,Expired 3 For $20 Charged Cotton® Stretch 6” Boxerjock® – 3-Pack,"Under Armour offers Charged Cotton® Stretch 6” Boxerjock® 3 for $20.
Free shipping on orders over $60.",03/15/2019,,,2,4
UnderArmour,Expired 2 For $64.99 UA Playoff Men’s Golf Polo Shirt,"Under Armour offers UA Playoff Men’s Golf Polo Shirt 2 for $64.99.
Free shipping on orders over $60.",03/15/2019,,,9,3
UnderArmour,Expired Up to 40% Off New to Outlet @ Under Armour,"Under Armour offers New to Outlet, up to 40% off.
Free shipping on orders over $60.
$26.99 $35.00
Under Armour Women's UA Pindot Open Back Long Sleeve | Under Armour US
$59.99 $65.00
Under Armour Women's UA Ripple MTL Sportstyle Shoes | Under Armour US
$59.99
Under Armour Men's UA Sportstyle Joggers | Under Armour US",03/11/2019,,10,68,29
UnderArmour,Expired Up to 30% Off Under Armour Shoes,"Under Armour offers New Arrival Under Armour Shoes, up to 30% off.
Free shipping on orders over $60.
Women
Men
Women
$59.99 $65.00
Under Armour Women's UA Ripple MTL Sportstyle Shoes | Under Armour US
Women
$110.00
Under Armour Women's UA HOVR™ SLK EVO Sportstyle Shoes | Under Armour US
Women
$140.00
Under Armour Women's UA HOVR™ Phantom Connected Running Shoes | Under Armour US",03/11/2019,,1,8,13
UnderArmour,Expired Up to 50% Off Select NFL Apparel On Sale @ Under Armour,"Under Armour offers Select NFL Apparel On Sale, up to 50% off.
Free shipping on orders over $60.
$17.50 $35.00
Under Armour Men's NFL Combine Authentic City Abbreviation T-Shirt | Under Armour US
$17.50 $35.00
Under Armour Men's NFL Combine Authentic Print Fill T-Shirt | Under Armour US
$17.50 $35.00
Under Armour Men's NFL Combine Authentic UA Tech™ Lockup Short Sleeve | Under Armour US",02/26/2019,,,8,6
UnderArmour,Expired $10 UA Boys’ Tech Prototype,"Under Armour offers the UA Boys’ Tech Prototype for $10.
Free shipping on orders over $60.",02/25/2019,,,1,
UnderArmour,Expired New Arrival Sportstyle Shoes @ Under Armour,"Under Armour offers new arrival Sportstyle Shoes.
Free shipping on orders over $60.
$110.00
Under Armour Men's UA HOVR™ SLK Sportstyle Shoes | Under Armour US
$110.00
Under Armour Men's UA Anatomix Spawn Low Basketball Shoes | Under Armour US
$110.00
Under Armour Men's UA HOVR™ SLK EVO Print Midsole Sportstyle Shoes | Under Armour US",02/23/2019,,,10,6
UnderArmour,Expired Extra 20% Off Over $100 Outlet Sale @ Under Armour,"Under Armour offers an Outlet Sale, extra 20% off over $100, via coupon code ""RALLY20"".
Free shipping on orders over $60.
Women
Men
Women
$37.99 $50.00
Under Armour Women's UA Waffle Hoodie | Under Armour US
Women
$26.99 $35.00
Under Armour Women's UA Pindot Open Back Long Sleeve | Under Armour US
Women
$48.99 $65.00
Under Armour Women's UA Ripple MTL Sportstyle Shoes | Under Armour US",02/18/2019,,10,62,29
UnderArmour,Expired Up to 40% Off Outlet Sale @ Under Armour,"Under Armour offers up to 40% off Outlet Sale.
Free shipping on orders over $60.
Women
Men
Women
$48.99 $65.00
Under Armour Women's UA Ripple MTL Sportstyle Shoes | Under Armour US
Women
$26.99 $35.00
Under Armour Women's UA Pindot Open Back Long Sleeve | Under Armour US
Women
$59.99
Under Armour Women's Armour® Eclipse High — Zip Sports Bra | Under Armour US",02/15/2019,,1,79,40
UnderArmour,Expired Up to 40% Off New Arrival @ Under Armour,"Under Armour offers up to 40% off New Arrival.
Free shipping on orders over $60.
Men
Women
Men
$140.00
Under Armour Men's UA HOVR™ Phantom/SE Running Shoes | Under Armour US
Men
$110.00
Under Armour Men's UA Anatomix Spawn Low Basketball Shoes | Under Armour US
Men
$90.00
Under Armour Men's SC30 Ultra Performance Pants | Under Armour US",02/13/2019,,1,10,4
UnderArmour,Expired Up to 40% Off UA Outlet @ Under Armour,"Under Armour offers up to 40% off UA Outlet.
Free shipping on orders over $60.
Deal ends 2/19.
$37.99 $49.99
Under Armour Men's UA ColdGear® Armour Compression Mock | Under Armour US
$52.99 $69.99
Under Armour Men's ColdGear® Infrared Fleece ¼ Zip | Under Armour US
$41.24 $54.99
Under Armour Women's UA Mileage Hoodie | Under Armour US",02/10/2019,02/19/2019,3,9,5
UnderArmour,Expired From $14.99 Best Sellers @ Under Armour,"Under Armour offers from $14.99 Best Sellers.
Free shipping on orders over $60.
Men
Women
Men
$140.00
Under Armour Men's UA HOVR™ Phantom Connected | Under Armour US
Men
$120.00
Under Armour Men's UA Project Rock 1 Training Shoes | Under Armour US
Men
$34.99
Under Armour Men's UA Ignite V Slides | Under Armour US",01/29/2019,,2,30,9
UnderArmour,Expired Up to 50% Off Running Footwear On Sale @ Under Armour,"Under Armour offers up to 50% off Running Footwear On Sale.
Free shipping on orders over $60.
$35.00 $70.00
Under Armour Men's UA Micro G® Pursuit Fiber Opt Running Shoes | Under Armour US
$59.99 $70.00
Under Armour Women's UA Micro G® Pursuit D Running Shoes | Under Armour US
$59.99 $70.00
Under Armour Men's UA Micro G Pursuit Wide (4E) Running Shoes | Under Armour US",01/29/2019,,,9,5
UnderArmour,Expired 2 For $50 Select Kids' Hoodies Sale @ Under Armour,"Under Armour offers 2 for $50 Select Kids' Hoodies Sale.
Free shipping on orders over $60.
Deal ends 2/8 23:59.
$64.99
2 for $50
Under Armour Girls' ColdGear® Reactor Fleece ½ Zip Hoodie | Under Armour US
$54.99
2 for $50
Under Armour Girls' UA Stretch Fleece Ridge Hoodie | Under Armour US
$64.99
2 for $50
Under Armour Girls' ColdGear® Reactor Fleece ½ Zip Hoodie | Under Armour US",01/29/2019,02/08/2019,,1,4
UnderArmour,Expired 2 For $60 Women's Hoodies @ Under Armour,"Under Armour offers  women's hoodies 2 for $60
Free shipping on orders over $60.
Deal ends 2/8 
$54.99
2 for $60
Under Armour Women's Armour Fleece® Hoodie | Under Armour US
$59.99
2 for $60
Under Armour Women's UA Mileage Graphic Hoodie | Under Armour US
$59.99
2 for $60
Under Armour Women's UA Threadborne Fleece Hoodie | Under Armour US",01/29/2019,02/08/2019,1,8,3
UnderArmour,Expired Extra 20% Off Over $100 Semi-Annual Event @ Under Armour,"Under Armour offers an extra 20% off over $100 Semi-Annual Event via coupon code ""EXTRA20"".
Free shipping on orders over $60.
Exclusions apply.
Deal ends 1/23.
Women
Men
Women
$39.00 $65.00
Under Armour Women's UA Ripple Sportstyle Shoes | Under Armour US
Women
$25.97 $35.00
Under Armour Women's UA Pindot Open Back Long Sleeve | Under Armour US
Women
$33.75 $45.00
Under Armour Women's UA Rival Fleece Pants | Under Armour US",01/24/2019,01/23/2019,7,89,30
UnderArmour,Expired Up to 50% Off Semi-Annual Event @ Under Armour,"Under Armour offers up to 50% off Semi-Annual Event.
Free shipping on orders over $60.
Exclusions apply.
Men
Women
Men
$33.75 $45.00
Under Armour Men's UA Rival Fleece Logo Hoodie | Under Armour US
Men
$33.99 $44.99
Under Armour Men's UA Rival Fleece Fitted Hoodie | Under Armour US
Men
$37.99 $49.99
Under Armour Men's UA ColdGear® Armour Compression Crew | Under Armour US",01/15/2019,,10,123,74
UnderArmour,Expired Up to 40% Off + Extra 25% Off Hot Products On Sale @ Under Armour,"Under Armour offers an up to 40% off + extra 25% off Hot Products On Sale via coupon code ""GIVE25"".
Free shipping.
Exclusions apply.
Men
Women
Men
$24.38 $64.99
Under Armour Men's UA Storm Caliber Hoodie | Under Armour US
Men
$11.25 $29.99
Under Armour Men's UA Streaker Short Sleeve | Under Armour US
Men
$25.31 $45.00
Under Armour Men's UA Rival Fleece Logo Joggers | Under Armour US",12/22/2018,,24,454,247
UnderArmour,Expired Extra 25% Off Kids Outlet Event @ Under Armour,"Under Armour offers an extra 25% off Kids Outlet Event via coupon code ""GIVE25"".
Free shipping.
Deal ends 12/25
Outlet Event
Boy Girl
$13.50 $30.00
Under Armour Girls' HeatGear® Armour Capris | Under Armour US
$14.39 $31.99
Under Armour Girls' UA Ignite Diverge VIII Slides | Under Armour US
$20.24 $44.99
Under Armour Boys' Armour® Fleece Big Logo Hoodie | Under Armour US",12/19/2018,12/25/2018,,2,2
UnderArmour,Expired 25% Off Best-Selling Fleece @ Under Armour,"Under Armour offers 25% off Best-Selling Fleece via coupon code ""GIVE25"".
Free shipping.
Exclusions apply.
Deal ends 12/25 23:59.
$28.13 $50.00
Under Armour Women's Armour Fleece® Open Pants | Under Armour US
$33.74 $59.99
Under Armour Women's UA Double Threat Armour Fleece® Pants | Under Armour US
$30.94 $55.00
Under Armour Men's Armour Fleece® Pants | Under Armour US",12/18/2018,12/25/2018,1,9,3
UnderArmour,Expired UP to 40% Off GREEN MONDAY SALE @ Under Armour,"Under Armour offers up to 40% off GREEN MONDAY SALE via coupon code ""GIFT25"".
Free shipping.
Deal ends 12/10 23:59 PST.
men
women
men
$19.99 $25.00
Under Armour Men's UA Tech™ 2.0 Short Sleeve | Under Armour US
men
$30.99 $40.00
Under Armour Men's UA Tech™ 2.0 ½ Zip Long Sleeve | Under Armour US
men
$32.50 $64.99
Under Armour Men's UA Storm Caliber Hoodie | Under Armour US",12/10/2018,12/10/2018,,1,
UnderArmour,Expired 25% Off Over $100 Under Armour On Sale,"Under Armour offers 25% off over $100 Under Armour On Sale via coupon code ""GIFT25"".
Free shipping.
men
women
men
$32.50 $64.99
Under Armour Men's UA Storm Caliber Hoodie | Under Armour US
men
$33.99 $44.99
Under Armour Men's UA Rival Fleece Fitted Graphic Hoodie | Under Armour US
men
$52.99 $69.99
Under Armour Men's UA Storm SweaterFleece ¼ Zip | Under Armour US",12/07/2018,,17,77,43
UnderArmour,Expired Today Only: Up to 50% Off Select Styles Plus $30 Off $100 Outlet @ Under Armour,"Under Armour offers up to 50% off + additional $30 off $100 outlet orders via coupon code ""CYBER30"".
Exlusion apply.
Deal ends 11/26.
$31.49 $44.99
Under Armour Men's UA Rival Fleece Team Hoodie | Under Armour US
$29.99 $45.00
Under Armour Men's UA Rival Fleece Hoodie | Under Armour US
$59.49 $84.99
Under Armour Men's UA Base™ 4.0 Crew | Under Armour US",11/27/2018,11/26/2018,3,28,15
UnderArmour,Expired 40% Off Select Styles Plus $30 Off $100 Outlet @ Under Armour,"Under Armour offers 40% off.
Also, $30 off $100 via coupon code ""ARMOUR30"".
Exlusion apply.
Free shipping.
Deal ends 11/26.
$33.00 $55.00
Under Armour Men's Armour Fleece® Joggers | Under Armour US
$33.00 $55.00
Under Armour Women's Armour Fleece® Pants | Under Armour US
$33.00 $55.00
Under Armour Women's Armour Fleece® Big Logo Hoodie | Under Armour US",11/26/2018,11/26/2018,30,221,174
