Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
ClubMonaco,Expired Last Day: Take an extra 40% off sale styles online only +Get 25% off $150+ 30% off $250+ OR 35% off $400+ @Club Monaco,"Club Monaco offers extra 40% off sale styles.
Get 25% off $150+ purchase; 30% off $250+ purchase; 35% off $400+ purchase via coupon code ""CMCYBERMONDAY18"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
$48.30 $89.50
Club Monaco Mackenzie Merino Sweater
$29.40 $89.50
Club Monaco Agnes Merino Wool Sweater
$29.40 $148.00
Club Monaco Nechar Top",11/28/2018,,10,123,29
ClubMonaco,Expired Last Day: Take an extra 40% off sale styles online only +Get 25% off $150+ 30% off $250+ OR 35% off $400+ @Club Monaco,"Club Monaco offers up to 35% off Full Priced Items  via coupon code ""CMCYBERMONDAY18"".
Get 25% off $150+ purchase; 30% off $250+ purchase; 35% off $400+ purchase.
Plus, an extra 40% off sale styles.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 11/27 23:59 EST
Coats
Sale
Full-Priced Items
Coats
$311.68 $479.50
Club Monaco Jemma Plaid Coat
Coats
$89.40 $198.50
Club Monaco Violet Feather Vest
Coats
$305.18 $469.50
Club Monaco Lenoria Coat",11/28/2018,11/27/2018,932,1236,726
ClubMonaco,Expired Up To 35% Off Sitewide @ Club Monaco,"Club Monaco offers 25% off $150+ purchase; 30% off $250+ purchase ; 35% off $400+ purchase. via coupon code ""CMBLACKFRIDAY18"".
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 11/24
Sale
New Arrivals
Men's
Sale
$244.30 $459.50
Club Monaco Daylina Coat
Sale
$149.25 $289.00
Club Monaco Eleesa Cashmere Turtleneck
Sale
$244.30 $459.50
Club Monaco Daylina Coat",11/25/2018,11/24/2018,229,1054,310
ClubMonaco,Expired Extra 25% Off Coats and Trench Coats @ Club Monaco,"Club Monaco offers an extra 25% off coats and trench coats 
Free shipping on orders over $150 via coupon code ""FREESHIP"".
$104.25 $369.00
Club Monaco Ariyamma Coat
$296.25 $395.00
Club Monaco Mayree Teddy Coat
$371.25 $495.00
Club Monaco Pasqualina Metallic Coat",11/07/2018,,2,24,9
ClubMonaco,Expired Last Day: 25% off Sweaters and Sweater dresses @Club Monaco,"Club Monaco offers 25% off Sweaters and Sweater dresses.
Free shipping on orders over $150.
Deal ends 11/5 23:59.
$36.75 $175.00
Club Monaco Sancerie Sweater
$74.25 $195.00
Club Monaco Shiranda Merino Sweater
$111.00 $148.00
Club Monaco Lailla Sweater",11/05/2018,11/05/2018,9,163,20
ClubMonaco,Expired Extra 30% Off Club Monaco Sale,"Club Monaco offers an extra 30% off Club Monaco Sale.
Free shipping on orders over $150.
Deal ends 10/28 23:59 EST.
$55.30 $98.50
Club Monaco Colorblock Raglan Crew
$69.30 $119.50
Club Monaco Linen Rollneck Sweater
$97.30 $259.00
Club Monaco Embroidered Bomber",10/28/2018,10/28/2018,,10,
ClubMonaco,Expired Extra 30% Off +Up to 60% off Sale @ Club Monaco,"Club Monaco offers an extra 30% off +Up to 60% off Sale. (No code required)
Free shipping on orders over $150.
Deal ends 10/28
$174.30 $398.00
Club Monaco Kasppere Coat
$139.30 $298.00
Club Monaco Isabelle Trench
$160.30 $298.50
Club Monaco Aaylina Trench",10/24/2018,10/28/2018,22,282,49
ClubMonaco,Expired Extra 25% Off Sitewide @Club Monaco,"Club Monaco offers an extra 25% off Sitewide via coupon code ""SHMONACO"".
Free shipping on orders over $150.
$104.25 $168.00
Club Monaco Samyra Shirt
$74.25 $195.00
Club Monaco Shiranda Merino Sweater
$93.75 $125.00
Club Monaco Amerilina Top",10/14/2018,,3,68,14
ClubMonaco,Expired 25% Off When You Spend $150 The Fall Getaway Event @ Club Monaco,"Club Monaco offers 25% off when you spend $150.
Free shipping on orders over $150.
Women
Sale
Women
$359.63 $479.50
Club Monaco Jemma Plaid Coat
Women
$134.63 $179.50
Club Monaco Annina Pleated Skirt
Women
$371.25 $495.00
Thermina Cashmere Sweater",10/08/2018,,6,84,12
ClubMonaco,Expired Extra 30% Off Mid-Season Sale @ Club Monaco,"Club Monaco offers an up to 70%+ extra 30% off Mid-Season Sale.
Free shipping on orders over $150, via coupon code ""FREESHIP"".
Deal ends 10/2.
$41.30 $169.50
Club Monaco Dolice Top
$41.30 $175.00
Club Monaco Ribbone Top
$90.30 $289.00
Club Monaco Tatelyn Cashmere Sweater",10/01/2018,10/02/2018,26,401,107
