Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
KateSpade,Up to 75% Off + Extra 10% Off Totes @ kate spade,"Kate spade offers up to 75% off Totes.
Plus，10% off your order of $150+ via coupon code ""EXTRAEXTRA"".
Free shipping.
$79.00 $299.00
Kate Spade kelsey tote
$89.00 $299.00
Kate Spade tanya tote
$99.00 $299.00
Kate Spade arch place mya",05/22/2019,,19,56,41
KateSpade,Expired 20% Off Full Priced Sale @ kate spade,"Kate spade offers 20% off Full Priced Sale via coupon code ""MDAY19"".
Free shipping.
Deal ends 5/13 23:59.
handbags
jewelry
handbags
$238.40 $298.00
Kate Spade andi canteen bag
handbags
$278.40 $348.00
Kate Spade nicola twistlock small shoulder bag
handbags
$318.40 $398.00
dorie medium bucket bag",05/15/2019,05/13/2019,48,159,113
KateSpade,Expired 20% Off Parrot collections @ kate spade,"Kate spade offers 20% off Parrot collections via coupon code ""MDAY19"".
Free shipping.
Deal ends 5/13.
$238.40 $298.00
Kate Spade kitt embellished extra large north south tote
$318.40 $398.00
Kate Spade rio parrot crossbody
$158.40 $198.00
Kate Spade beaded flock party east west crossbody",05/12/2019,05/13/2019,6,12,6
KateSpade,Expired 20% Off 2019 collections @ kate spade,"Kate spade offers 20% off 2019 collections via coupon code ""MDAY19"".
Free shipping.
Deal ends 5/13.
$318.40 $398.00
Kate Spade nicola twistlock medium shoulder bag
$318.40 $398.00
Kate Spade nicola twistlock medium shoulder bag
$318.40 $398.00
dorie medium bucket bag",05/12/2019,05/13/2019,11,27,25
KateSpade,Expired Free mini eau de parfum with $95 fragrance purchase @ Kate Spade,"Kate spade offers free mini eau de parfum with $95 fragrance purchase.
Free shipping.
Deal ends 5/29 23:59.
$98.00
Kate Spade in full bloom 3.4 fl oz eau de parfum spray
$28.00
Kate Spade in full bloom .34 fl oz eau de parfum travel spray
$100.00
Kate Spade walk on air gift set",05/11/2019,05/29/2019,2,2,4
KateSpade,Expired Starting at $238 Get a bag + Two Flaps @ Kate Spade,"Kate spade offers a bag + two flaps starting at $238 via coupon code ""MAKEITMINE"".
Free shipping.
Deal ends 5/13 23:59.
$98.00
make it mine cat flap
$98.00
make it mine penguin flap
$98.00
make it mine bunny flap",05/07/2019,05/13/2019,2,1,
KateSpade,Expired From $29 Kate spade Sale,"Kate spade offers from $29 Kate spade Sale via coupon code ""perfect"".
free shipping
Deal ends 4/30.
$129.00 $258.00
Kate Spade that's the spirit backpack
$119.00 $248.00
Kate Spade watson lane quilted small lyla
$99.00 $228.00
Kate Spade watson lane quilted hartley",05/03/2019,04/30/2019,3,9,5
KateSpade,Expired Up to 75% Off Sitewide Surprise Sale @ kate spade,"Kate spade offers up to 75% off Sitewide Surprise Sale.
Deal ends 4/25.
Free shipping on orders over $99.
Wallets
Handbags
Jewelry
Clothings
Wallets
$29.00 $119.00
Kate Spade star bright owl poppy
Wallets
$39.00 $99.00
Kate Spade patterson drive small shawn
Wallets
$29.00 $99.00
Kate Spade larchmont avenue sari",04/25/2019,04/25/2019,146,544,547
KateSpade,Expired Start at $29 Handbags @ kate spade,"Kate spade offers start at $29 Handbags.
Free shipping on orders over $99.
Deal ends 4/25.
$119.00 $329.00
Kate Spade run wild leopard tomi
$29.00 $119.00
Kate Spade star bright owl poppy
$129.00 $429.00
Kate Spade run wild leopard hayden",04/24/2019,04/25/2019,5,10,10
KateSpade,Expired Today Only: $99 Tote bag @ kate spade,"Today only(4/23), kate spade offers the Tote bag for $99.
Free shipping.
Deal ends 4/23 23:59 PST.
$99.00 $299.00
Kate Spade maise medium dome satchel $2
$99.00 $299.00
Kate Spade arch place mya gardenia
$99.00 $299.00
arch place mya",04/23/2019,04/23/2019,2,3,5
